date,ensemble
2021-05-24,1688509.5625484462
2021-05-25,1686418.7140634533
2021-05-26,1677878.586528587
2021-05-27,1690401.3815229412
2021-05-28,1691886.3580282207
2021-06-01,1691678.601207542
2021-06-02,1687578.5734699245
2021-06-03,1684896.701613235
2021-06-04,1697261.1340969082
2021-06-07,1691675.555521774
2021-06-08,1689825.641602325
2021-06-09,1682074.2014120098
2021-06-10,1698001.7595985408
2021-06-11,1703681.5748880382
2021-06-14,1696008.399218368
2021-06-15,1700094.8088367458
2021-06-16,1685406.1207616802
2021-06-17,1686520.1089046474
2021-06-18,1664763.7162540432
2021-06-21,1697636.7728641506
2021-06-22,1703918.4346607204
2021-06-23,1697640.608520317
2021-06-24,1702105.9578140257
2021-06-25,1708607.5236881252
2021-06-28,1700820.9035299297
2021-06-29,1689174.770664024
2021-06-30,1691296.5508640285
2021-07-01,1706394.7852180477
2021-07-02,1712496.03570919
2021-07-06,1705859.600124168
2021-07-07,1710056.0433476102
2021-07-08,1697946.8159798274
2021-07-09,1713102.2033444706
2021-07-12,1718012.3515334355
2021-07-13,1708151.777529861
2021-07-14,1704056.538008373
2021-07-15,1692218.3713948247
2021-07-16,1679861.1472460744
2021-07-19,1660182.5278827397
2021-07-20,1692434.945523834
2021-07-21,1717792.9246671635
2021-07-22,1719146.7655269883
2021-07-23,1738874.333772804
2021-07-26,1743905.0181179463
2021-07-27,1741769.9306035764
2021-07-28,1738398.027273193
2021-07-29,1752689.6902768856
2021-07-30,1753374.754184509
2021-08-02,1748584.8607290036
2021-08-03,1760096.9139173275
2021-08-04,1761783.4528806454
2021-08-05,1774495.0645978695
2021-08-06,1767314.5239942318
2021-08-09,1764097.0392186886
2021-08-10,1762388.324935699
2021-08-11,1767608.9852102047
2021-08-12,1770247.4478414303
2021-08-13,1776885.867088104
2021-08-16,1787558.6312864071
2021-08-17,1765023.7182729489
2021-08-18,1749817.14819696
2021-08-19,1770513.517917419
2021-08-20,1782889.2915761715
2021-08-23,1798451.4399755246
2021-08-24,1803098.5124471432
2021-08-25,1812494.871936584
2021-08-26,1798372.242000366
2021-08-27,1822453.3966024169
2021-08-30,1826426.2866590268
2021-08-31,1827170.6458356625
2021-09-01,1821359.7267110592
2021-09-02,1823667.709953094
2021-09-03,1823973.2179105529
2021-09-07,1811236.2832067255
2021-09-08,1823567.8598478085
2021-09-09,1822845.6151654965
2021-09-10,1822581.2466542963
2021-09-13,1802066.26154306
2021-09-14,1810752.3066442255
2021-09-15,1824342.94488504
2021-09-16,1811415.5571096188
2021-09-17,1791156.8301389462
2021-09-20,1769452.642112518
2021-09-21,1765447.2799718624
2021-09-22,1785978.425945068
2021-09-23,1819264.9911878356
2021-09-24,1821769.2687566525
2021-09-27,1802571.294696594
2021-09-28,1754908.811717773
2021-09-29,1760245.8876798395
2021-09-30,1732429.4156644589
2021-10-01,1749434.5354230648
