,date,account_value
642,2020-07-22,1153668.8257444862
643,2020-07-23,1138783.7486392003
644,2020-07-24,1131139.3099651434
645,2020-07-27,1144262.5742563957
646,2020-07-28,1134890.718308943
647,2020-07-29,1158756.7983666593
648,2020-07-30,1167003.2474322694
649,2020-07-31,1160074.7545197823
650,2020-08-03,1172466.6395419266
651,2020-08-04,1179897.8560888933
652,2020-08-05,1197276.2228024667
653,2020-08-06,1197772.4017742036
654,2020-08-07,1213193.1124728252
655,2020-08-10,1237208.576823495
656,2020-08-11,1222671.5387939694
657,2020-08-12,1251483.8875567333
658,2020-08-13,1248002.956028105
659,2020-08-14,1259781.5557157004
660,2020-08-17,1266567.5641767809
661,2020-08-18,1260252.7023828567
662,2020-08-19,1258495.6580598892
663,2020-08-20,1251293.942894751
664,2020-08-21,1258904.944464499
665,2020-08-24,1264104.1818178238
666,2020-08-25,1265239.9368351044
667,2020-08-26,1261566.6166723312
668,2020-08-27,1264489.837525183
669,2020-08-28,1282794.0905635895
670,2020-08-31,1275336.0420975077
671,2020-09-01,1289978.2896505797
672,2020-09-02,1318234.7701894783
673,2020-09-03,1269328.7830206053
674,2020-09-04,1257872.1698329183
675,2020-09-08,1228331.0684341548
676,2020-09-09,1258867.7554613764
677,2020-09-10,1237250.4166664297
678,2020-09-11,1245621.3005407394
679,2020-09-14,1280787.5830805763
680,2020-09-15,1282812.64667095
681,2020-09-16,1289475.8546623099
682,2020-09-17,1276505.7635874732
683,2020-09-18,1268042.6703836797
684,2020-09-21,1256084.0145566897
685,2020-09-22,1260440.4055898623
686,2020-09-23,1237174.2725103335
687,2020-09-24,1244186.8059061007
688,2020-09-25,1277096.7426126436
689,2020-09-28,1295769.7007120089
690,2020-09-29,1291247.6716955141
691,2020-09-30,1309212.6919515566
692,2020-10-01,1313808.201473041
693,2020-10-02,1307417.3933561281
694,2020-10-05,1342584.083547397
695,2020-10-06,1333525.278799949
696,2020-10-07,1368379.4166370882
697,2020-10-08,1379551.4098433373
698,2020-10-09,1387953.6921610197
699,2020-10-12,1401188.6146040338
700,2020-10-13,1399425.2114664414
701,2020-10-14,1390984.6218735077
702,2020-10-15,1399940.6479183533
703,2020-10-16,1405817.188188144
704,2020-10-19,1384003.9492031978
705,2020-10-20,1393287.9646279262
706,2020-10-21,1381659.9504935192
707,2020-10-22,1373814.7117726253
708,2020-10-23,1398057.2699086117
709,2020-10-26,1364563.3765894817
710,2020-10-27,1358536.9525625156
711,2020-10-28,1301232.5502597736
712,2020-10-29,1308296.5684449123
713,2020-10-30,1295377.9550201343
714,2020-11-02,1330038.5996882366
715,2020-11-03,1367867.0539585995
716,2020-11-04,1408128.934066479
717,2020-11-05,1438003.3796202587
718,2020-11-06,1439675.113516991
719,2020-11-09,1393886.2939534166
720,2020-11-10,1392492.4079088056
721,2020-11-11,1394631.123464625
722,2020-11-12,1388564.7210960402
723,2020-11-13,1401128.3560978055
724,2020-11-16,1415676.684874414
725,2020-11-17,1400360.4989089333
726,2020-11-18,1384245.446830425
727,2020-11-19,1398484.6453843112
728,2020-11-20,1381702.4128288245
729,2020-11-23,1389457.5483785167
730,2020-11-24,1396898.3777894008
731,2020-11-25,1397571.6039559045
732,2020-11-27,1409648.3180897126
733,2020-11-30,1403671.741034823
734,2020-12-01,1425745.1923739677
735,2020-12-02,1434250.2433023744
736,2020-12-03,1441897.543093188
737,2020-12-04,1459487.385387345
738,2020-12-07,1465142.7028013254
739,2020-12-08,1467056.0799943435
740,2020-12-09,1442005.819294768
741,2020-12-10,1430092.1951981208
742,2020-12-11,1430913.4021887823
743,2020-12-14,1432030.4751653485
744,2020-12-15,1440009.5470822225
745,2020-12-16,1443342.766956124
746,2020-12-17,1453634.007595864
747,2020-12-18,1440573.2530275197
748,2020-12-21,1435751.746826199
749,2020-12-22,1434185.6688193097
750,2020-12-23,1428621.1761853471
751,2020-12-24,1436172.9257748695
752,2020-12-28,1436193.7979822326
753,2020-12-29,1432399.4985978238
754,2020-12-30,1438867.654200276
755,2020-12-31,1444766.5790275217
756,2021-01-04,1430259.8291118457
